Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-4.2,-0.2,-8.1,-,46,0,10.1,20.6,27.8,40.7, ,o, , 
2,-3.7,-1.5,-5,-,74,0,6,14.8,25.9,-,o,o, , 
3,-1.9,1.4,-4.5,-,98,1.52,1.1,10,18,-,o,o, ,o
4,,,,,,,,,,,o,o, ,o
5,,,,,,,,,,, , , ,o
6,,,,,,,,,,,o, , , 
7,3.3,4.4,2,-,95,0,6.8,15.7,28.7,48.2,o, , ,o
8,3.9,9.1,1,-,87,2.54,8.9,20.6,40.7,64.8,o, , , 
9,4.9,8,1.7,-,99,3.56,3.7,8,14.4,-,o, , ,o
10,,,,,,,,,,,o, , ,o
11,,,,,,,,,,,o, , , 
12,,,,,,,,,,,o, , ,o
13,5.4,7,4,-,92,1.02,9.2,20.9,33.5,-,o, , , 
14,5.9,11,1.9,-,75,2.29,8.9,10.6,18,-, , , , 
15,5.2,7,3.5,-,81,0,7.1,11.5,18,-,o, , ,o
16,,,,,,,,,,,o, , ,o
17,,,,,,,,,,, ,o, ,o
18,,,,,,,,,,,o,o, , 
19,-1.9,3.2,-4.2,-,69,0,11.1,18,28.7,-, ,o, , 
20,0.4,6,-5,-,50,0,10.8,21.9,35.2,46.5, ,o, , 
21,2.1,7.3,-2,-,49,0,14,13.9,25.2,31.7, , , , 
22,,,,,,,,,,,o,o, , 
23,,,,,,,,,,,o, , ,o
24,,,,,,,,,,, , , ,o
25,7.2,12.5,1.2,-,58,0,11.3,12,18.3,-, , , , 
26,7.4,11,4.7,-,55,0,8.7,12.2,21.7,38.9, , , , 
27,4.9,7,2.7,-,83,0,7.1,14.3,25.2,37,o, , ,o
28,,,,,,,,,,,o, , , 
29,,,,,,,,,,,o, , , 
30,,,,,,,,,,,o, , , 
31,5.1,10.7,0,-,86,4.32,5.1,7.4,18.3,35.2,o, , ,o
